Algoritmo,Tamanho,Tempo
MergeSort,10,8.344650268554688e-06
MergeSort,10,1.1205673217773438e-05
MergeSort,10,1.1682510375976562e-05
MergeSort,10,1.2159347534179688e-05
MergeSort,10,1.2636184692382812e-05
MergeSort,10,1.2874603271484375e-05
MergeSort,10,1.3113021850585938e-05
MergeSort,10,1.33514404296875e-05
MergeSort,10,1.4066696166992188e-05
MergeSort,10,1.7404556274414062e-05
MergeSort,100,5.984306335449219e-05
MergeSort,100,6.29425048828125e-05
MergeSort,100,0.00010156631469726562
MergeSort,100,0.00010251998901367188
MergeSort,100,0.00010895729064941406
MergeSort,100,0.00010967254638671875
MergeSort,100,0.00011348724365234375
MergeSort,100,0.00011467933654785156
MergeSort,100,0.00012636184692382812
MergeSort,100,0.0001621246337890625
MergeSort,1000,0.0006825923919677734
MergeSort,1000,0.0007746219635009766
MergeSort,1000,0.001135110855102539
MergeSort,1000,0.001241922378540039
MergeSort,1000,0.0012683868408203125
MergeSort,1000,0.001275777816772461
MergeSort,1000,0.0013027191162109375
MergeSort,1000,0.0013151168823242188
MergeSort,1000,0.0013213157653808594
MergeSort,1000,0.0013456344604492188
MergeSort,10000,0.009990692138671875
MergeSort,10000,0.010175704956054688
MergeSort,10000,0.010252237319946289
MergeSort,10000,0.010289907455444336
MergeSort,10000,0.010340213775634766
MergeSort,10000,0.010388612747192383
MergeSort,10000,0.010413885116577148
MergeSort,10000,0.01046299934387207
MergeSort,10000,0.014467954635620117
MergeSort,10000,0.014960527420043945
MergeSort,100000,0.12181520462036133
MergeSort,100000,0.13134050369262695
MergeSort,100000,0.13272500038146973
MergeSort,100000,0.13289594650268555
MergeSort,100000,0.13417339324951172
MergeSort,100000,0.13799309730529785
MergeSort,100000,0.14013385772705078
MergeSort,100000,0.14040231704711914
MergeSort,100000,0.14182257652282715
MergeSort,100000,0.14552688598632812
MergeSort,1000000,2.1580684185028076
MergeSort,1000000,2.1596946716308594
MergeSort,1000000,2.2012505531311035
MergeSort,1000000,2.2450828552246094
MergeSort,1000000,2.250643253326416
MergeSort,1000000,2.259570837020874
MergeSort,1000000,2.263167142868042
MergeSort,1000000,2.2631683349609375
MergeSort,1000000,2.272747039794922
MergeSort,1000000,2.3035497665405273
MergeSort,10000000,27.327082872390747
MergeSort,10000000,28.855157613754272
MergeSort,10000000,29.234492540359497
MergeSort,10000000,29.9798800945282
MergeSort,10000000,30.508564710617065
MergeSort,10000000,30.532253742218018
MergeSort,10000000,30.738979816436768
MergeSort,10000000,30.80662965774536
MergeSort,10000000,30.840308666229248
MergeSort,10000000,30.9118709564209
