Algoritmo,Tamanho,Tempo
QuickSort,10,5.9604644775390625e-06
QuickSort,10,6.9141387939453125e-06
QuickSort,10,7.3909759521484375e-06
QuickSort,10,8.106231689453125e-06
QuickSort,10,8.344650268554688e-06
QuickSort,10,8.821487426757812e-06
QuickSort,10,9.059906005859375e-06
QuickSort,10,9.5367431640625e-06
QuickSort,10,1.0728836059570312e-05
QuickSort,10,1.2874603271484375e-05
QuickSort,100,3.719329833984375e-05
QuickSort,100,3.910064697265625e-05
QuickSort,100,5.14984130859375e-05
QuickSort,100,5.173683166503906e-05
QuickSort,100,5.1975250244140625e-05
QuickSort,100,5.221366882324219e-05
QuickSort,100,5.3882598876953125e-05
QuickSort,100,5.53131103515625e-05
QuickSort,100,5.555152893066406e-05
QuickSort,100,5.602836608886719e-05
QuickSort,100,5.698204040527344e-05
QuickSort,1000,0.0005075931549072266
QuickSort,1000,0.0005147457122802734
QuickSort,1000,0.0005159378051757812
QuickSort,1000,0.0005285739898681641
QuickSort,1000,0.0007469654083251953
QuickSort,1000,0.0007872581481933594
QuickSort,1000,0.0008118152618408203
QuickSort,1000,0.0008165836334228516
QuickSort,1000,0.0008249282836914062
QuickSort,1000,0.0008332729339599609
QuickSort,10000,0.00677490234375
QuickSort,10000,0.0071790218353271484
QuickSort,10000,0.007332324981689453
QuickSort,10000,0.0074956417083740234
QuickSort,10000,0.007648944854736328
QuickSort,10000,0.00973653793334961
QuickSort,10000,0.010172605514526367
QuickSort,10000,0.010961532592773438
QuickSort,10000,0.013025999069213867
QuickSort,10000,0.015430688858032227
QuickSort,100000,0.09826135635375977
QuickSort,100000,0.09925580024719238
QuickSort,100000,0.10035371780395508
QuickSort,100000,0.10144186019897461
QuickSort,100000,0.10170316696166992
QuickSort,100000,0.10187506675720215
QuickSort,100000,0.10280704498291016
QuickSort,100000,0.10399794578552246
QuickSort,100000,0.10685849189758301
QuickSort,100000,0.11990857124328613
QuickSort,1000000,1.850785493850708
QuickSort,1000000,1.8523712158203125
QuickSort,1000000,1.9080114364624023
QuickSort,1000000,1.9469773769378662
QuickSort,1000000,1.955035924911499
QuickSort,1000000,1.9729869365692139
QuickSort,1000000,1.977292776107788
QuickSort,1000000,1.9819495677947998
QuickSort,1000000,1.9840714931488037
QuickSort,1000000,1.99031400680542
QuickSort,10000000,25.15957021713257
QuickSort,10000000,25.282886505126953
QuickSort,10000000,25.905253410339355
QuickSort,10000000,26.069422006607056
QuickSort,10000000,26.079503774642944
QuickSort,10000000,26.162850618362427
QuickSort,10000000,26.45662498474121
QuickSort,10000000,26.732037782669067
QuickSort,10000000,26.810099840164185
QuickSort,10000000,26.843485593795776
