Algoritmo,Tamanho,Tempo
InsertionSort,10,2.6226043701171875e-06
InsertionSort,10,3.0994415283203125e-06
InsertionSort,10,3.337860107421875e-06
InsertionSort,10,3.5762786865234375e-06
InsertionSort,10,3.814697265625e-06
InsertionSort,10,4.0531158447265625e-06
InsertionSort,10,4.5299530029296875e-06
InsertionSort,10,6.67572021484375e-06
InsertionSort,10,1.71661376953125e-05
InsertionSort,100,6.937980651855469e-05
InsertionSort,100,7.319450378417969e-05
InsertionSort,100,7.724761962890625e-05
InsertionSort,100,0.00011920928955078125
InsertionSort,100,0.00011992454528808594
InsertionSort,100,0.0001232624053955078
InsertionSort,100,0.00012493133544921875
InsertionSort,100,0.00012683868408203125
InsertionSort,100,0.00012993812561035156
InsertionSort,100,0.0001366138458251953
InsertionSort,1000,0.008680105209350586
InsertionSort,1000,0.008975028991699219
InsertionSort,1000,0.01033329963684082
InsertionSort,1000,0.010933637619018555
InsertionSort,1000,0.012205362319946289
InsertionSort,1000,0.012744665145874023
InsertionSort,1000,0.01602911949157715
InsertionSort,1000,0.016048669815063477
InsertionSort,1000,0.016139507293701172
InsertionSort,1000,0.018004417419433594
InsertionSort,10000,0.9469683170318604
InsertionSort,10000,0.9504823684692383
InsertionSort,10000,0.9511644840240479
InsertionSort,10000,0.9603190422058105
InsertionSort,10000,0.9789402484893799
InsertionSort,10000,0.9847264289855957
InsertionSort,10000,0.9854130744934082
InsertionSort,10000,0.9876666069030762
InsertionSort,10000,0.994581937789917
InsertionSort,10000,1.0071024894714355
InsertionSort,100000,101.37765669822693
InsertionSort,100000,125.57329177856445
InsertionSort,100000,125.76865196228027
InsertionSort,100000,127.62074685096741
InsertionSort,100000,129.47263503074646
InsertionSort,100000,129.6589915752411
InsertionSort,100000,129.8991904258728
InsertionSort,100000,129.95006918907166
InsertionSort,100000,134.12956142425537
InsertionSort,100000,136.5499393939972
