Algoritmo,Tamanho,Tempo
QuickInsertion,10,3.814697265625e-06
QuickInsertion,10,4.0531158447265625e-06
QuickInsertion,10,4.291534423828125e-06
QuickInsertion,10,4.76837158203125e-06
QuickInsertion,10,5.0067901611328125e-06
QuickInsertion,10,5.245208740234375e-06
QuickInsertion,10,5.4836273193359375e-06
QuickInsertion,10,6.198883056640625e-06
QuickInsertion,100,2.9325485229492188e-05
QuickInsertion,100,3.504753112792969e-05
QuickInsertion,100,3.719329833984375e-05
QuickInsertion,100,4.2438507080078125e-05
QuickInsertion,100,4.458427429199219e-05
QuickInsertion,100,4.506111145019531e-05
QuickInsertion,100,4.57763671875e-05
QuickInsertion,100,4.863739013671875e-05
QuickInsertion,100,5.14984130859375e-05
QuickInsertion,100,5.2928924560546875e-05
QuickInsertion,1000,0.0004184246063232422
QuickInsertion,1000,0.0004215240478515625
QuickInsertion,1000,0.0004496574401855469
QuickInsertion,1000,0.0004508495330810547
QuickInsertion,1000,0.0004570484161376953
QuickInsertion,1000,0.00046634674072265625
QuickInsertion,1000,0.0006749629974365234
QuickInsertion,1000,0.0007288455963134766
QuickInsertion,1000,0.0007338523864746094
QuickInsertion,1000,0.0007472038269042969
QuickInsertion,10000,0.0064122676849365234
QuickInsertion,10000,0.006455183029174805
QuickInsertion,10000,0.0064849853515625
QuickInsertion,10000,0.006554841995239258
QuickInsertion,10000,0.007093191146850586
QuickInsertion,10000,0.007467985153198242
QuickInsertion,10000,0.0075800418853759766
QuickInsertion,10000,0.008001565933227539
QuickInsertion,10000,0.01120138168334961
QuickInsertion,10000,0.012757301330566406
QuickInsertion,100000,0.0855245590209961
QuickInsertion,100000,0.08606195449829102
QuickInsertion,100000,0.08725881576538086
QuickInsertion,100000,0.0889432430267334
QuickInsertion,100000,0.08896350860595703
QuickInsertion,100000,0.0890665054321289
QuickInsertion,100000,0.08927154541015625
QuickInsertion,100000,0.09511923789978027
QuickInsertion,100000,0.11720705032348633
QuickInsertion,100000,0.1283879280090332
QuickInsertion,1000000,1.6420083045959473
QuickInsertion,1000000,1.8201372623443604
QuickInsertion,1000000,1.820718765258789
QuickInsertion,1000000,1.8717458248138428
QuickInsertion,1000000,1.8763365745544434
QuickInsertion,1000000,1.8798842430114746
QuickInsertion,1000000,1.8962841033935547
QuickInsertion,1000000,1.9163663387298584
QuickInsertion,1000000,1.9383275508880615
QuickInsertion,1000000,1.9555408954620361
QuickInsertion,10000000,21.29616117477417
QuickInsertion,10000000,25.17025876045227
QuickInsertion,10000000,25.81734585762024
QuickInsertion,10000000,26.438162803649902
QuickInsertion,10000000,26.575690984725952
QuickInsertion,10000000,27.17803454399109
QuickInsertion,10000000,27.187380075454712
QuickInsertion,10000000,27.21725821495056
QuickInsertion,10000000,27.910245656967163
QuickInsertion,10000000,28.03493094444275
